,property_type,sector,price,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
785,flat,sector 69,1.43,3.0,3.0,2, Low Floor,Relatively New,1398.0,0.0,0.0,0.0,1.0,0.0,0.0,Medium
786,flat,sector 79,1.4,3.0,3.0,3, Low Floor,New Property,1934.0,0.0,0.0,0.0,0.0,0.0,1.0,High
787,flat,gwal pahari,5.25,4.0,5.0,3+, Low Floor,New Property,5217.0,1.0,1.0,0.0,1.0,0.0,0.0,Low
788,flat,sector 69,1.9,4.0,4.0,2, Low Floor,Relatively New,1808.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
789,flat,sector 104,1.75,3.0,4.0,3+,High Floor,Relatively New,2198.0,1.0,1.0,0.0,1.0,1.0,1.0,Low
790,house,sector 33,1.15,2.0,2.0,3, Low Floor,Relatively New,1400.0,1.0,0.0,0.0,0.0,0.0,1.0,Medium
791,flat,sector 37,0.67,2.0,2.0,2,Medium Floor,Relatively New,1079.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
792,flat,sector 95,0.2,1.0,1.0,1, Low Floor,Relatively New,475.0,0.0,0.0,0.0,1.0,0.0,0.0,Medium
793,flat,sector 69,1.68,3.0,3.0,2, Low Floor,Relatively New,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,High
794,flat,sector 69,0.9,3.0,2.0,3+, Low Floor,Relatively New,1326.0,0.0,0.0,0.0,0.0,0.0,1.0,High
795,flat,sohna road,0.26,2.0,2.0,1, Low Floor,Relatively New,625.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
796,flat,sector 67a,1.6,3.0,3.0,2,Medium Floor,New Property,1437.0,0.0,0.0,1.0,0.0,0.0,1.0,High
797,flat,sector 111,2.35,3.0,3.0,3+,Medium Floor,Under Construction,1615.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
798,flat,sector 109,1.45,3.0,4.0,3+,Medium Floor,Relatively New,1797.0,0.0,1.0,0.0,0.0,0.0,0.0,Medium
799,house,sector 4,2.35,4.0,4.0,2, Low Floor,Old Property,1440.0,0.0,0.0,0.0,1.0,0.0,0.0,Low
800,flat,sector 89,1.2,3.0,3.0,2,Medium Floor,New Property,1423.0,1.0,0.0,0.0,0.0,1.0,0.0,Low
801,flat,sector 99,0.3,2.0,1.0,0,High Floor,New Property,584.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
802,flat,sector 83,1.3,3.0,3.0,1,Medium Floor,Relatively New,2573.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium
